year,antigen,mean,median,count
1980.0,BCG,52.73170731707317,57.0,82
1980.0,DTPCV3,44.22403846153846,42.0,104
1980.0,MCV1,42.701492537313435,36.0,67
1980.0,POL3,46.52772277227723,42.0,101
1980.0,TT2PLUS,13.324324324324325,8.0,37
1981.0,BCG,57.964285714285715,62.5,112
1981.0,DTPCV3,48.548920863309355,47.0,139
1981.0,MCV1,39.88969072164949,38.0,97
1981.0,POL3,48.89191176470588,46.5,136
1981.0,TT2PLUS,15.307692307692308,8.0,52
1982.0,BCG,59.322916666666664,63.0,96
1982.0,DTPCV3,51.894017094017094,53.0,117
1982.0,MCV1,41.09120879120879,43.0,91
1982.0,POL3,54.42393162393163,59.0,117
1982.0,TT2PLUS,16.06382978723404,11.0,47
1983.0,BCG,64.45454545454545,70.0,110
1983.0,DTPCV3,54.58920863309352,57.0,139
1983.0,MCV1,48.61504424778761,48.0,113
1983.0,POL3,59.21349206349206,63.0,126
1983.0,TT2PLUS,17.536585365853657,14.0,41
1984.0,BCG,62.60526315789474,69.0,114
1984.0,DTPCV3,57.42785714285714,60.0,140
1984.0,MCV1,50.770634920634926,51.5,126
1984.0,POL3,60.942142857142855,65.5,140
1984.0,TT2PLUS,17.0,14.0,53
1985.0,BCG,65.525,70.0,120
1985.0,DTPCV3,59.06758620689655,60.0,145
1985.0,MCV1,54.73900709219858,54.0,141
1985.0,POL3,62.062411347517724,67.0,141
1985.0,TT2PLUS,21.79032258064516,19.5,62
1985.0,YFV,70.0,70.0,1
1986.0,BCG,69.12698412698413,75.5,126
1986.0,DTPCV3,63.357861635220125,71.0,159
1986.0,MCV1,58.73486842105264,61.5,152
1986.0,POL3,66.47677419354838,73.0,155
1986.0,TT2PLUS,24.26984126984127,20.0,63
1986.0,YFV,73.0,73.0,1
1987.0,BCG,75.15503875968992,83.0,129
1987.0,DTPCV3,67.31146496815286,72.0,157
1987.0,MCV1,63.21455696202531,66.5,158
1987.0,POL3,68.33687499999999,77.5,160
1987.0,TT2PLUS,32.31325301204819,27.0,83
1987.0,YFV,74.0,76.0,4
1988.0,BCG,76.52173913043478,85.0,138
1988.0,DTPCV3,69.5028901734104,75.0,173
1988.0,MCV1,66.39473684210526,70.0,171
1988.0,MCV2,90.9,90.9,1
1988.0,POL3,71.47590361445783,78.0,166
1988.0,TT2PLUS,35.14492753623188,30.0,69
1988.0,YFV,48.666666666666664,35.0,3
1989.0,BCG,80.8169014084507,89.0,142
1989.0,DTPCV3,73.22342857142857,80.0,175
1989.0,HEPB3,40.25,37.5,4
1989.0,MCV1,71.0,77.0,167
1989.0,MCV2,92.4,92.4,1
1989.0,POL3,75.04277108433735,83.0,166
1989.0,TT2PLUS,38.71264367816092,32.0,87
1989.0,YFV,53.666666666666664,40.0,3
1990.0,BCG,84.76315789473684,91.0,152
1990.0,DTPCV3,78.59613259668508,85.0,181
1990.0,HEPB3,63.0,72.0,12
1990.0,MCV1,76.56704545454545,81.0,176
1990.0,MCV2,92.9,92.9,1
1990.0,POL3,80.20824175824175,86.5,182
1990.0,TT2PLUS,51.46341463414634,54.5,82
1990.0,YFV,48.5,48.5,2
1991.0,BCG,81.68276315789474,89.75,152
1991.0,DTPCV1,86.0,86.0,1
1991.0,DTPCV3,79.2659217877095,85.0,179
1991.0,HEPB3,60.91428571428572,79.0,21
1991.0,HIB3,64.2,65.0,5
1991.0,MCV1,77.27206703910615,82.0,179
1991.0,MCV2,93.6,93.6,1
1991.0,POL3,80.17365168539325,85.75,178
1991.0,TT2PLUS,63.13684210526316,74.0,133
1991.0,YFV,45.77777777777778,44.0,9
1992.0,BCG,82.12115384615385,89.95,156
1992.0,DTPCV1,81.0,81.0,1
