who_region,description,year,introduced_pct
AFRO,HPV (Human Papilloma Virus) vaccine,2006.0,0.0
AFRO,HPV (Human Papilloma Virus) vaccine,2007.0,0.0
AFRO,HPV (Human Papilloma Virus) vaccine,2008.0,0.0
AFRO,HPV (Human Papilloma Virus) vaccine,2009.0,0.0
AFRO,HPV (Human Papilloma Virus) vaccine,2010.0,0.0
AFRO,HPV (Human Papilloma Virus) vaccine,2011.0,2.127659574468085
AFRO,HPV (Human Papilloma Virus) vaccine,2012.0,2.127659574468085
AFRO,HPV (Human Papilloma Virus) vaccine,2013.0,2.127659574468085
AFRO,HPV (Human Papilloma Virus) vaccine,2014.0,6.382978723404255
AFRO,HPV (Human Papilloma Virus) vaccine,2015.0,10.638297872340425
AFRO,HPV (Human Papilloma Virus) vaccine,2016.0,10.638297872340425
AFRO,HPV (Human Papilloma Virus) vaccine,2017.0,12.76595744680851
AFRO,HPV (Human Papilloma Virus) vaccine,2018.0,21.27659574468085
AFRO,HPV (Human Papilloma Virus) vaccine,2019.0,34.04255319148936
AFRO,HPV (Human Papilloma Virus) vaccine,2020.0,36.17021276595745
AFRO,HPV (Human Papilloma Virus) vaccine,2021.0,42.5531914893617
AFRO,HPV (Human Papilloma Virus) vaccine,2022.0,51.06382978723404
AFRO,HPV (Human Papilloma Virus) vaccine,2023.0,51.06382978723404
AFRO,HepB birth dose,1989.0,0.0
AFRO,HepB birth dose,1990.0,0.0
AFRO,HepB birth dose,1991.0,0.0
AFRO,HepB birth dose,1992.0,0.0
AFRO,HepB birth dose,1993.0,0.0
AFRO,HepB birth dose,1994.0,0.0
AFRO,HepB birth dose,1995.0,0.0
AFRO,HepB birth dose,1996.0,0.0
AFRO,HepB birth dose,1997.0,0.0
AFRO,HepB birth dose,1998.0,2.1739130434782608
AFRO,HepB birth dose,1999.0,4.3478260869565215
AFRO,HepB birth dose,2000.0,4.3478260869565215
AFRO,HepB birth dose,2001.0,6.521739130434782
AFRO,HepB birth dose,2002.0,8.695652173913043
AFRO,HepB birth dose,2003.0,8.695652173913043
AFRO,HepB birth dose,2004.0,10.869565217391305
AFRO,HepB birth dose,2005.0,10.869565217391305
AFRO,HepB birth dose,2006.0,10.869565217391305
AFRO,HepB birth dose,2007.0,10.869565217391305
AFRO,HepB birth dose,2008.0,10.869565217391305
AFRO,HepB birth dose,2009.0,10.869565217391305
AFRO,HepB birth dose,2010.0,13.043478260869565
AFRO,HepB birth dose,2011.0,12.76595744680851
AFRO,HepB birth dose,2012.0,12.76595744680851
AFRO,HepB birth dose,2013.0,14.893617021276595
AFRO,HepB birth dose,2014.0,14.893617021276595
AFRO,HepB birth dose,2015.0,17.02127659574468
AFRO,HepB birth dose,2016.0,19.148936170212767
AFRO,HepB birth dose,2017.0,19.148936170212767
AFRO,HepB birth dose,2018.0,23.404255319148938
AFRO,HepB birth dose,2019.0,25.53191489361702
AFRO,HepB birth dose,2020.0,27.659574468085108
AFRO,HepB birth dose,2021.0,27.659574468085108
AFRO,HepB birth dose,2022.0,31.914893617021278
AFRO,HepB birth dose,2023.0,34.04255319148936
AFRO,Hepatitis A vaccine,2002.0,0.0
AFRO,Hepatitis A vaccine,2003.0,0.0
